,0,
30,30,"[34, 48, 43, 63, 42, 53, 50, 49, 47, 61, 54, 63, 39, 62, 41, 65, 36, 24, 49, 34, 48, 35, 74, 73, 23, 55, 36, 50, 41, 70, 52, 44, 25, 29, 29, 29, 48, 32, 36, 52, 15, 47, 52, 47, 52, 29, 49, 36, 36, 68, 27, 30, 74, 40, 59, 57, 53, 40, 31]"
31,31,"[62, 47, 38, 45, 48, 54, 53, 50, 51, 33, 48, 40, 53, 20, 23, 52, 62, 38, 52, 44, 49, 55, 34, 58, 57, 47, 54, 35, 50, 61, 51, 50, 37, 50, 45, 41, 50, 83, 36, 42, 45, 80, 52, 45, 50, 42, 44, 53, 56, 73, 47, 40, 44, 49, 51, 52, 52, 59, 65, 52, 59, 39, 55, 57, 72, 39, 46]"
32,32,"[36, 19, 42, 40, 48, 44, 46, 50, 54, 34, 69, 54, 37, 63, 44, 64, 61, 44, 72, 56, 60, 33, 32, 44, 59]"
33,33,"[43, 50, 38, 39, 38, 46, 45, 48, 27, 39, 33, 29, 47, 41, 32, 55, 38, 39, 37, 34]"
34,34,"[30, 64, 50, 64, 64, 57]"
35,35,"[28, 31, 48, 57, 49, 38, 46, 31, 18, 49, 49, 27, 53, 62, 26, 41, 68, 46, 30, 62, 25, 36, 36, 41, 39, 42, 55, 33, 52, 41, 35, 47, 49, 46, 42, 27, 39, 50, 40]"
36,36,"[45, 19, 48, 61, 46, 38, 37, 46, 47, 47, 37, 42, 42, 39, 37, 31, 41, 52, 55, 52, 56, 43, 52, 62, 26, 56, 42, 38, 56, 42, 56, 54, 27, 49, 31, 25, 32, 34, 27, 20, 48, 45, 62, 56, 24, 36, 46, 38, 53, 48, 57, 37, 27, 61, 34, 46, 52, 45, 56, 54, 34, 51, 58, 52, 41, 46, 80, 44, 55, 28, 36, 44, 44, 54, 25, 29, 91, 35, 47, 56]"
37,37,"[34, 59, 58, 75, 70, 59, 53, 48, 86, 69, 30, 28, 44, 28, 29, 22, 62, 35, 29, 24, 49, 46, 30, 45, 42, 30, 18, 57, 36, 26, 60, 42, 35, 44, 30, 35, 30, 51, 41, 47, 30, 44, 37, 58, 38, 32, 29, 36, 82, 47, 47, 45, 74, 35, 31, 43, 44, 39, 28, 42, 63, 34, 42, 58, 27, 44, 49, 35, 41, 44, 53, 27, 43, 42, 48, 54, 40, 51, 49, 45, 58, 30, 42, 47, 63, 54, 63, 43, 61, 47, 43, 53, 49, 47, 28, 40, 54, 47, 22, 53]"
38,38,"[47, 35, 37, 44, 46, 61, 39, 41, 36, 54, 48, 26, 39, 25, 45, 45, 56, 42, 40, 60, 36, 20, 50, 78, 40, 36, 25, 35, 46, 50, 58, 27, 49, 69, 33, 39, 45, 65, 41, 41, 43, 47, 51, 63, 54, 70, 45, 52, 50, 50, 29, 39, 48, 41, 66, 50, 37, 41, 73, 53, 53, 52, 50, 40, 77, 56, 33, 35, 37, 38, 59, 52, 59, 37, 65, 52, 49, 63, 33, 69, 63, 32, 43, 46, 51, 32, 18, 25, 53, 51, 43, 28, 36, 45, 65, 30, 31, 18, 45, 46, 53, 71, 46, 36, 41, 37, 42, 54, 40, 55, 42, 38, 49, 49, 70, 41, 74, 58, 36, 73, 44, 40, 22, 44, 52, 21, 44, 30, 47, 68, 51, 54, 57, 43, 37, 36, 59, 26, 32, 53]"
39,39,"[41, 53, 48, 33, 37, 37, 58, 48, 55, 50, 43, 57, 45]"
40,40,"[31, 21, 14, 20, 30, 17, 32, 44, 47, 59, 54, 33, 59, 52, 33, 36, 46, 54, 38, 34, 25, 31, 28, 49, 21, 36, 46, 57, 44, 92, 53, 42, 65, 50, 58, 48, 31, 64, 52, 51, 39, 49, 31, 58, 23, 33, 18, 45, 48, 77, 60, 22, 19, 37, 37, 45, 36, 45, 38]"
41,41,"[50, 71, 60, 80, 65, 58, 48, 60, 48, 45, 38, 42, 40, 17, 36, 42, 44, 50, 44, 41, 49, 41, 47, 42, 44, 24, 65, 53, 52, 35, 37, 33, 59, 54, 41, 44, 67, 79, 29, 42, 51, 53, 65, 75, 37, 59, 71, 36, 36, 42, 33, 29, 40, 54, 53, 38, 51, 47, 72, 30, 34, 41, 43, 40, 47, 48, 39, 45, 37, 42, 57, 52, 49, 51, 64, 51, 37, 53, 50, 38, 40, 38, 47, 66, 68, 62, 59, 56, 73, 38, 59, 28, 36, 59, 36, 34, 44, 32, 32, 33, 45, 23, 49, 38, 48, 27, 41, 26, 42, 31, 28, 41, 38, 40, 36, 35, 40, 40, 36, 49, 46, 33, 58, 35, 55, 56, 39, 25, 39, 71, 41, 32, 65, 53, 56, 40, 48, 43, 25, 40, 42, 44, 56, 50, 55, 46, 84, 39, 38, 45, 23, 42, 49, 50, 44, 39, 45, 58, 42, 38, 44, 39, 49, 65, 49, 52, 64, 58, 44, 39, 57, 43, 69, 63, 50, 39, 37, 44, 45, 39, 40, 31, 47, 52, 39, 34, 32, 36, 49, 31, 55, 52, 46, 42, 37, 53, 54, 33, 36, 44, 63, 43, 31, 29, 37, 47, 58, 31, 41, 36, 39, 28, 51, 47, 58, 42, 39, 41, 44, 50, 61, 52, 38, 37, 25, 30, 45, 44, 40]"
