,0,
10,10,"[37, 40, 53, 25, 30, 39, 57, 50, 40, 59, 29, 39, 43, 33, 27, 62, 32, 41, 34, 42, 41, 35, 42, 42, 49, 38, 28, 26, 28, 33, 25, 40, 48, 60, 39, 82, 52, 52, 59, 38, 29, 27, 18, 39, 53, 33, 37, 40, 66, 36, 38, 53, 67, 43, 42, 59, 38, 55, 60, 51, 45, 55, 57, 56, 26, 39, 38, 28, 41, 56, 58, 47, 44, 49, 37, 46, 54, 50, 46]"
11,11,"[34, 28, 39, 42, 39, 39, 44, 44, 45, 53, 33, 65, 22, 22, 17, 41, 31, 29, 21]"
12,12,"[46, 39, 37, 31, 65, 45, 53, 49, 69, 53, 48, 39, 47, 37, 51, 40, 40, 42, 73, 52, 55, 35, 25, 50, 32, 48, 50, 36, 52, 68, 23, 46, 44, 35, 35, 46, 37, 27, 38, 43, 30, 31, 32, 14, 33, 34, 31, 44, 33, 53, 34, 42, 39, 42, 51, 52, 74, 24, 34, 46, 38, 32, 37, 56, 53, 27, 58, 35, 51, 36, 75, 33, 53, 38, 40, 41, 50, 20, 26, 36, 50, 47, 38, 29, 37, 28, 36, 60, 23, 20, 25, 30, 16, 35, 52, 32, 28, 20, 27, 13, 32]"
13,13,"[44, 49, 43, 37, 47, 51, 25, 25, 45, 52, 59, 29, 51, 35, 34, 23, 48, 39, 32, 40, 29, 36, 48, 70, 37, 37, 61, 31, 28, 52, 44, 28, 25, 42, 45, 32, 40, 31, 45, 45, 55, 40, 36, 42, 52, 31, 48, 24, 42, 46, 36, 45, 42]"
14,14,"[65, 33, 46, 49, 22, 29, 38, 38, 39, 40, 44, 31, 59, 40, 72, 44, 35, 48, 29, 34, 29, 52, 23, 44, 46, 43, 24, 45, 47, 61, 40, 36, 39, 37, 35, 55, 39, 32, 38, 38, 47, 30, 50, 42, 28, 36]"
15,15,"[18, 45, 57, 54, 39, 51, 48, 37, 22, 29, 28, 31, 43, 43, 50, 29, 37, 34, 31, 38, 44, 43, 52, 34, 47, 41, 38, 48, 35, 81, 39, 63, 39, 69, 38, 32, 18, 31, 34, 37, 46, 30, 51, 46, 29, 49, 59, 20, 31, 44, 61, 30, 39, 65, 47, 43, 39, 51, 47, 33, 43, 37, 64, 47, 37, 32, 45, 40, 42, 48, 45, 64, 46, 31, 32, 55, 42, 51, 35, 29, 35, 65, 43, 41, 84, 30, 43, 86, 56, 37, 37, 65, 25, 28, 42, 69, 45, 48, 67, 42, 65, 42, 73, 37, 57, 52, 36, 38, 34, 50, 53, 55, 54, 47, 61, 17, 31, 36, 70, 29, 33, 49, 30, 43, 44, 58, 41, 39, 48, 53, 44, 50, 52, 41, 34, 60, 20, 48, 50, 45, 50, 42, 33, 34, 49, 47, 47, 44, 36, 38, 69, 36, 48, 70, 45, 53, 48, 54, 49, 42, 45, 42, 64, 49, 30, 50, 39, 51, 46, 45, 47, 49, 34, 23, 43, 44, 21, 32, 33, 37, 39, 33, 54, 56, 39, 77, 62, 51, 29, 45, 32, 50, 39, 43, 67, 39, 54, 41, 58, 49, 56, 73, 25, 50, 33, 18, 30, 38, 28, 44, 52, 56, 47, 54, 59, 45, 51, 28, 44, 50, 44, 54, 43, 49]"
16,16,"[27, 42, 67, 35, 35, 46, 24, 58, 43, 59, 64, 51, 62, 53, 37, 36, 38, 29, 39, 41, 47, 30, 57, 68, 31, 37, 22, 47, 44, 22, 24, 28, 46, 17, 27, 39, 27, 32, 35, 32, 62, 31, 35, 46, 53, 54, 42, 47, 28, 45, 51, 61, 57, 44, 57, 36, 50, 32, 47, 41, 33, 47, 47, 34, 38, 48, 51, 39, 50, 36, 26, 53, 39, 39, 48, 94, 28, 47, 26, 50, 39, 40, 61, 44, 40, 56, 52, 40, 52, 42, 43, 56, 46, 45, 44, 45, 52, 43, 32, 40, 40, 53, 51, 52, 51, 46, 38, 50, 44, 40, 53, 49, 53, 29, 28, 46, 67, 49, 44, 58, 42, 31, 63, 55, 26, 58, 38, 23, 38, 42, 22, 47, 36, 26, 16, 38, 39, 31, 33, 49, 68, 52, 34, 43, 43, 29, 55, 32, 86, 55, 44, 74, 56, 40, 47, 42, 39, 56, 39, 57, 44, 55, 65, 53, 52, 52, 35, 50, 58, 43, 48, 39, 52, 20, 55, 47, 49, 41, 35, 32, 42, 44, 39, 16, 40, 56, 58, 46, 56, 39, 44, 64]"
17,17,"[28, 23, 40, 61, 43, 54, 54, 53, 62, 48, 48, 58, 68, 48, 51, 70, 42, 33, 34, 31, 49, 38, 43, 39, 38, 46, 31, 30, 19, 47, 34, 35, 45, 35, 38, 30, 51, 45, 55, 31, 53, 76, 40, 55, 58, 43, 78, 54, 71, 50, 53, 72, 36, 96, 57, 70, 74, 58, 51, 41, 76, 50, 66, 59, 54, 57, 41, 37, 43, 43, 62, 33, 39, 37, 40, 50, 34, 69, 46, 33, 36, 26, 49, 33, 43, 64, 40, 66, 22, 42, 56, 59, 44, 57, 63, 36, 26, 32, 41, 52, 57, 41, 62, 23, 33, 39, 60, 45, 29, 39, 31, 39, 40, 50, 49, 30, 57, 54, 54]"
18,18,"[41, 35, 45, 42, 57, 32, 39, 30, 56, 61, 51, 50, 69, 48, 36, 28, 37, 52, 37, 27, 47, 41, 35, 34, 38, 31, 38, 49, 44, 59, 86, 52, 51, 38, 51, 53, 81, 73, 53, 54, 32, 62, 81, 50, 65, 64, 43, 54, 48, 47, 64, 61, 41, 35, 40, 42, 51, 50, 35, 40, 46, 38, 51, 59, 33, 38, 50, 48, 37, 62, 48, 19, 39, 48, 56, 35, 38, 62, 33, 43, 58, 46, 38, 80, 43, 44, 51, 29, 28, 30, 43, 36, 31]"
19,19,"[42, 45, 54, 59, 37, 40, 29, 47, 38, 40, 29, 35, 52, 51, 58, 53, 46, 56, 40, 27, 35, 41, 29, 36, 40, 38, 39, 44, 55, 38, 44, 51, 60, 46, 39, 64, 31, 31, 22, 34, 28, 65, 21, 41, 39, 38, 25, 31, 54, 30, 36, 60, 40, 69, 68, 57, 35, 34, 17, 38, 28, 46, 37, 39, 43, 40, 64, 45, 31, 54, 57, 50, 25, 58, 43, 45, 36, 54, 35, 34, 44, 47, 47, 51]"
